created_at,place,text,lang
2018-03-19 15:10:02,,"b'In Singapore with young people who are advocating for education, empowering young women, and getting involved all o\xe2\x80\xa6 https://t.co/V5uHCeMWUa'",en
2018-03-16 00:22:18,,b'41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M',en
2018-03-15 23:16:02,,b'Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!',en
2018-03-14 20:12:59,,"b'Just because I have more time to watch games doesn\xe2\x80\x99t mean my picks will be better, but here are my brackets this ye\xe2\x80\xa6 https://t.co/gWpZwlceV3'",en
2018-03-14 14:58:59,,b'Have fun out there among the stars. https://t.co/S285MTwGtp',en
2018-03-12 18:12:41,,"b'Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an\xe2\x80\xa6 https://t.co/kneWyU2Tu1'",en
2018-02-28 02:58:41,,"b'I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want\xe2\x80\xa6 https://t.co/1ammpZayJx'",en
2018-02-22 16:00:44,,"b'Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu\xe2\x80\xa6 https://t.co/wXO3wBtJ8V'",en
2018-02-21 16:33:04,,"b'Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t\xe2\x80\xa6 https://t.co/V8WtgIRPEB'",en
2018-02-15 17:12:17,,b'We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon\xe2\x80\xa6 https://t.co/LWGSkzRapH',en
2018-02-14 16:25:03,,"b'Happy Valentine\xe2\x80\x99s Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm'",en
2018-02-14 16:24:22,,"b'RT @MichelleObama: Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I\xe2\x80\x99m dedicating a little Valentine\xe2\x80\x99s Da\xe2\x80\xa6'",en
2018-01-15 14:46:02,,"b'Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts\xe2\x80\xa6 https://t.co/N0zwBg7gTi'",en
